Description,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision or Location,Price,Category
"3BR House and Lot (Sabrina Model) for Sale in San Francisco Heights, Calamba, Laguna",2,3,0,60,110,San Francisco Heights,4442000,House
"5BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Freya, NRFO/RFO",3,5,1,140,121,Camella Provence,8654000,House
"4-Bedroom House and Lot for Sale at Lancaster New City in General Trias, Cavite -BRIANA Model",3,4,2,110,100,Lancaster New City,6756360,House
"3BR Single Detached House and Lot for Sale in The Villages at Lipa, Sierra Village, Batangas - with Special Offer",2,3,2,103,143,The Villages at Lipa,6000000,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",3,3,0,250,92,Likha Residences,28251000,House
"4-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -ALEXANDRA Model",3,4,2,100,120,Lancaster New City,7410000,House
"Niran Two Storey SD for Sale in Sentosa, Calamba Laguna",2,4,1,115.08,176,Sentosa,6396780,House
"2-Storey 4BR House and Lot (Shanata Model) for Sale in Suntrust Sentosa, Calamba, Laguna",4,4,2,171.5,176,Sentosa,8557360,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L60 (LILY-INNER)",1,1,0,34,28,Marytown Place,795073,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B8 L1-A (LILY-CORNER)",1,1,0,34,39,Marytown Place,973608,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L64 (LILY-INNER)",1,1,0,34,52,Marytown Place,1013431,House
"2BR Quadruplex Townhouse (TH-46) for Sale in Avila Heights, Santo Tomas, Batangas",2,2,0,46,51,Avila Heights,2464168,House
"2-Storey 3-Bedroom Townhome End Unit for Sale in Estanzia Enclave, Tanza, Cavite",2,3,2,55,80,Estanzia Enclave,3200000,House
"Bungalow House (Molave Model) for Sale in Ameria, Panabo, Davao del Norte ",4,3,0,138,337,Ameria,10000000,House
"4BR House and Lot (Savannah Model) for Sale in San Francisco Heights, Calamba, Laguna",2,4,0,80,110,San Francisco Heights,5770000,House
"3 bedroom House and Lot for Sale in San Francisco Heights, Calamba- Scarlett",2,3,0,72,110,San Francisco Heights,4767000,House
"4 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Savannah",2,4,0,80,110,San Francisco Heights,5770000,House
"2-Storey 3-Bedroom House and Lot (Alto Model) for Sale in Gran Avila, Calamba, Laguna ",1,3,0,60,90,Gran Avila,2902810,House
"3-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Cara",2,3,1,66,99,Camella Baliwag,5573800,House
"2BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Arielle IU, NRFO",1,2,0,36,36,Camella Quezon,2094000,House
"3-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Mara, RFO",2,3,1,53,180,Camella Gran Europa,9918340,House
"2-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Arielle",1,2,0,36,36,Camella Baliwag,2198000,House
"5-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Ella, NRFO",3,5,0,100,110,Camella Taal,6814000,House
"5-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Greta",3,5,2,166,143,Camella Baliwag,9594100,House
"4BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Dana wCB, NRFO",3,4,1,85,110,Camella Provence,6970000,House
"5-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Freya Corner, RFO",3,5,1,142,140,Camella Savannah,9168000,House
"5-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Ella, NRFO",3,5,0,100,110,Camella Gran Europa,7324830,House
"3-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Cara, NRFO",2,3,0,66,99,Camella Gran Europa,5952320,House
"3-Bedroom Single Attached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - with Special Offer",2,3,1,72,92,Ajoya Cabanatuan,4200000,House
"4-Bedroom Single Detached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - with Special Offer",2,4,1,96,153,Ajoya Cabanatuan,5700000,House
"Metro Tagaytay - Daphne Single Attached 2BR House and Lot for Sale in Montebello, Alfonso, Cavite",2,2,1,150,,Montebello,6900000,House
"2-Bedroom Townhouse for Sale at Hana South in Trece Martires, Cavite | Erica Model",2,2,1,40,45,Hana South,2089739,House
"3-Bedroom Townhouse for Sale at Lancaster New City in Imus, Cavite -ANICA Model",1,3,1,50,50,Lancaster New City,2389000,House
"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -AIRA Model",2,3,1,80,92,Lancaster New City,5282600,House
"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -CHESSA Model",3,3,2,90,100,Lancaster New City,5978000,House
"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Caterina",3,4,0,136.25,176,Verona,8466000,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit Elevated Garden",3,3,0,323.8,90,Likha Residences,42997000,House
"3BR House (Bougainvillea Model) for Sale in Ameria, Panabo, Davao del Norte",3,3,1,129,221,Ameria,9222110,House
"Bungalow House for Sale in Ameria, Panabo, Davao del Norte - Molave Model",4,3,0,138,388,Ameria,12000000,House
"3-Bedroom House and Lot for Sale at Lancaster New City in Kawit, Cavite -GABRIELLE Model",2,3,1,84,120,Lancaster New City,6650000,House
"Single Detached Bungalow House (Aeon Combined) for Sale in Suntrust Sentosa, Calamba, Laguna",2,2,1,71,120,Sentosa,3124880,House
The Gentri Heights: Kirana 2-Storey House for Sale in General Trias Cavite,2,3,1,82.3,98,The Gentri Heights,4730620,House
"3-Bedroom House for Sale in Ameria, Panabo, Davao del Norte - Caballero Model",2,3,0,122,388,Ameria,10399874,House
"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang- Mariella Premium",1,3,0,93.91,88,Verona,4956000,House
"House and Lot with 3 bedroom for Sale in Verona, Lumil, Silang- Mariella Standard",1,3,0,63.51,88,Verona,4460000,House
"3BR House and Lot (Scarlett Model) for Sale in San Francisco Heights, Calamba, Laguna",2,3,0,72,110,San Francisco Heights,4767000,House
"House and Lot with 4 bedroom for Sale in Verona, Lumil, Silang- Orabella",3,4,0,147.23,176,Verona,8913000,House
"4BR House and Lot (Serena Model) for Sale in San Francisco Heights, Calamba, Laguna",2,4,0,83,110,San Francisco Heights,5400000,House
"2-Storey 4BR Single Detached House and Lot (Wallace Model) for Sale in Washington Place, Dasmariñas, Cavite",2,4,1,83,140,Washington Place,6298845,House
"3-Bedroom Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite | Rosanna Model",2,3,1,75,80,PTC Suncrest,5234791,House
"3BR Single Attached House and Lot for Sale at PTC Suncrest in Imus, Cavite | Rosanna Model",2,3,1,75,80,PTC Suncrest,5234791,House
"5BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Greta, RFO",3,5,0,166,251,Camella Quezon,11553000,House
"5-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Ella",3,5,1,100,110,Camella Baliwag,7062300,House
"5-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Freya, NRFO",3,5,1,142,143,Camella Monticello,8407000,House
"3-Bedroom Townhouse for Sale in The Villages at Lipa, Sierra Village, Batangas - with Special Offer",2,3,2,93,108,The Villages at Lipa,4700000,House
"Duplex House and Lot Side by Side Roadside for Sale in Ajoya Capas, Tarlac - with Special Offer",2,1,1,66,79,Ajoya Capas,2800000,House
"2-Bedroom Single Attached House and Lot for Sale in Ajoya Cabanatuan, Nueva Ecija - with Special Offer",2,2,1,74,88,Ajoya Cabanatuan,3800000,House
"4-Bedroom Townhouse for Sale at Lancaster New City in Kawit, Cavite -ADELLE Model",2,4,1,70,60,Lancaster New City,3336800,House
"2BR 2-Storey Single-Attached House for Sale in Ara Vista Village, General Trias Cavite | Angela Ph 2",2,2,1,111,100,Ara Vista Village,4851616,House
"Townhouse with 2 Bedrooms for Sale at Hana South in Trece Martires, Cavite | Erica Model",2,2,1,40,45,Hana South,2089739,House
"Azalea 3BR Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas | B1 L26",2,3,1,65,90.97,Primavera Homes Phase 2,3430000,House
"RFO 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit with Extra Lot",3,3,0,237.85,124,Likha Residences,29283000,House
"2-Storey 4BR Single Detached House and Lot (Washington Model) for Sale in Washington Place, Dasmariñas, Cavite",3,4,1,103,168,Washington Place,9614253,House
"2-Storey 3BR House and Lot (Wharton Model) for Sale in Washington Place, Dasmariñas, Cavite",2,3,1,73,140,Washington Place,5692980,House
"2-Bedroom Townhouse for Sale at PHINMA Maayo San Jose in San Jose, Batangas | Rosario Model",2,2,1,48.26,50,PHINMA Maayo San Jose,3280000,House
"3BR Quadruplex Townhouse (TH-64) for Sale in Avila Heights, Santo Tomas, Batangas",2,3,0,64,51,Avila Heights,2984737,House
"Azumi  Quadruplex Townhouse for Sale in Sentosa, Calamba Laguna",2,3,1,80.93,60,Sentosa,2459200,House
"Leia Two Storey Duplex for Sale in Sentosa, Calamba Laguna",1,3,1,60,80,Sentosa,2925600,House
"4-Bedroom Beach House and Lot for Sale in Seafront Residences, San Juan, Batangas - with Special Offer",3,4,2,150,200,Seafront Residences,14100000,House
"2BR Bungalow House (Francine Model) for Sale in San Francisco Heights, Calamba, Laguna",2,2,0,46,110,San Francisco Heights,2918180,House
"2BR Duplex House and Lot (Aya Model) for Sale in Suntrust Sentosa, Calamba, Laguna",1,2,1,52,80,Sentosa,1817900,House
RFO 3BR Townhouse for sale in The Arcadia | Boundary of Angeles and Porac Pampanga | Anais Inner Unit Complete,1,3,1,78.73,63,The Arcadia,3177163,House
"4BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Dana, NRFO",3,4,0,85,99,Camella Provence,6489000,House
"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Frielle, NRFO",1,2,0,50,79,Camella Monticello,3966000,House
"4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Adelaide Model",2,4,1,144.87,154,The Arcadia,8215525,House
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Brielle",1,2,0,40,40,Camella Provence,2338000,House
"Duplex House and Lot Side by Side Parkside for Sale in Ajoya Capas, Tarlac - with Special Offer",2,1,1,66,79,Ajoya Capas,3600000,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",3,3,0,323.8,105,Likha Residences,42577000,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B9 L42 (LILY-INNER)",1,1,0,34,52,Marytown Place,1013431,House
"3BR House for Sale in Ameria, Panabo, Davao del Norte - Bougainvillea Model",3,3,1,129,388,Ameria,10953047,House
"4-Bedroom House for Sale in Ameria, Panabo, Davao del Norte - Aurora Model",3,4,2,206,388,Ameria,12864917,House
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Arielle IU",1,2,0,36,42,Camella Balanga Heights,2153000,House
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Criselle, NRFO",1,2,0,40,66,Camella Taal,2883000,House
"4-Bedroom Single Detached House and Lot for for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Arrah Model",2,4,1,96.84,98,The Arcadia,5379890,House
"2-Bedroom House for Sale at Camella Monticello in San Jose del Monte, Bulacan | Bella, NRFO",2,2,0,53,88,Camella Monticello,4516000,House
"2BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Bella, NRFO/BTS",2,2,0,53,88,Camella Provence,5013000,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",3,3,0,250,93,Likha Residences,29854000,House
"3-Bedroom Townhouse for Sale at Lancaster New City in General Trias, Cavite -ANICA Model",1,3,1,50,50,Lancaster New City,2389000,House
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Criselle",1,2,0,40,63,Camella Provence,3243000,House
"2-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Aliyah, NRFO",1,2,0,46,88,Camella Savannah,4122000,House
"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Mikaela IU, RFO",2,2,0,44,46,Camella Gran Europa,3488645,House
"4-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Dana CB, RFO",3,4,0,85,110,Camella Savannah,6930000,House
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Bella, NRFO",2,2,0,53,88,Camella Taal,4592000,House
"4BR Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Atlanta Model",3,4,2,173.1,168,The Arcadia,9440500,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit Elevated Garden",3,3,0,323.8,90,Likha Residences,42997000,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B14 L4 (LILY-INNER)",1,1,0,34,28,Marytown Place,795073,House
"4 bedroom House and Lot for Sale in San Francisco Heights, Calamba-Serena ",2,4,0,83,110,San Francisco Heights,5400000,House
"2-Storey 3BR Single Detached House and Lot (Wellington Model) for Sale in Washington Place, Dasmariñas, Cavite",2,3,1,78,160,Washington Place,6265385,House
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Bella",2,2,0,53,88,Camella Balanga Heights,4382000,House
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Arielle EU, NRFO",1,2,0,36,66,Camella Taal,2673000,House
"4-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Dana",3,4,0,85,99,Camella Baliwag,6388300,House
"3-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Cara, RFO",2,3,0,66,88,Camella Taal,5390000,House
"2-Bedroom House for Sale at Camella Baliwag in Tangos, Baliuag, Bulacan | Bella",2,2,0,53,88,Camella Baliwag,4597300,House
"2-Bedroom 2-Storey House for Sale at Camella Taal in Buli, Taal, Batangas | Bella, RFO",2,2,0,53,99,Camella Taal,5132000,House
"3BR House for Sale at Camella Provence in Brgy. Lagundi, Plaridel, Bulacan | Cara, NRFO/RFO",2,3,0,66,88,Camella Provence,5607000,House
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Ezabelle",1,2,0,46,63,Camella Provence,3365000,House
"2-Bedroom House for Sale at Camella Provence in Malolos City, Bulacan | Frielle",1,2,0,50,63,Camella Provence,3440000,House
"2BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Arielle EU, NRFO",1,2,0,36,59,Camella Quezon,2582000,House
"2BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Bella, NRFO",1,2,0,66,88,Camella Quezon,4328000,House
"2-Bedroom House for Sale at Camella Gran Europa in Cagayan de Oro City | Bella, NRFO",2,2,0,53,88,Camella Gran Europa,5052530,House
"3-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Cara, NRFO",2,3,1,66,88,Camella Savannah,5592000,House
"RFO 4-Bedroom Single Detached House and Lot for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Athens Model",4,4,2,171.42,213,The Arcadia,8300000,House
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Ezabelle",1,2,0,46,63,Camella Balanga Heights,3071000,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",3,3,0,250,93,Likha Residences,29854000,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",3,3,0,250,92,Likha Residences,29017000,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit Elevated Garden",3,3,0,323.8,92,Likha Residences,43053000,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical End Unit",3,3,0,323.8,105,Likha Residences,42857000,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Elevated Garden Unit",3,3,0,323.8,90,Likha Residences,42717000,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",3,3,0,250,93,Likha Residences,29854000,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | End Unit Elevated Garden",3,3,0,323.8,91,Likha Residences,43025000,House
"Pre-selling 3BR 4-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Corner Unit with Extra Lot",3,3,0,323.8,106,Likha Residences,42605000,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",3,3,0,250,94,Likha Residences,29698000,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B14 L2 (LILY-INNER)",1,1,0,34,28,Marytown Place,795073,House
"RFO 1BR 2-Storey Rowhouse for Sale at Marytown Place in Santa Maria, Bulacan | B14 L3 (LILY-INNER)",1,1,0,34,28,Marytown Place,795073,House
"2-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Bella, RFO",2,2,0,53,88,Camella Savannah,5052000,House
"4BR House for Sale at Camella Quezon in Brgy. Isabang, Tayabas City, Quezon | Dana, NRFO",2,4,1,85,199,Camella Quezon,8011000,House
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Criselle",1,2,0,40,63,Camella Balanga Heights,2958000,House
"2-Bedroom 2-Storey House for Sale at Camella Savannah in Oton, Iloilo | Bella, NRFO",2,2,0,53,88,Camella Savannah,4772000,House
"2-Bedroom House for Sale at Camella Balanga Heights in Balanga City, Bataan | Arielle EU",1,2,0,36,63,Camella Balanga Heights,2936000,House
"RFO 4-Bedroom Single Detached House for Sale in The Arcadia | Boundary of Angeles and Porac, Pampanga | Adelaide Model",3,4,1,144.88,213,The Arcadia,7600000,House
"Azalea 3BR Townhouse for Sale at Primavera Homes Phase 2 in Tanauan, Batangas | B1 L22",2,3,1,65,60,Primavera Homes Phase 2,2945000,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",3,3,0,250,92,Likha Residences,29017000,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Unit Facing Clubhouse",3,3,0,250,93,Likha Residences,29854000,House
"Pre-selling 3BR 3-Storey Townhouse for Sale near Alabang in Likha Residences, Muntinlupa | Typical Unit",3,3,0,250,93,Likha Residences,29654000,House
"MADELYN 3BR 2-Storey Single Detached House for Sale at Parc Regency Residences in Pavia, Iloilo",2,3,1,72,100,Parc Regency Residences,4436364,House
"AMANDA 4BR 2-Storey Single Detached House for Sale at Parc Regency Residences in Pavia, Iloilo",3,4,2,100,120,Parc Regency Residences,6379520,House
